sid,"splunk_server","_time","is_realtime",search,"adhoc_search_level","api_et","event_count","exec_time","result_count","scan_count","search_et",status,"total_run_time","__mv_sid","__mv_splunk_server","__mv__time","__mv_is_realtime","__mv_search","__mv_adhoc_search_level","__mv_api_et","__mv_event_count","__mv_exec_time","__mv_result_count","__mv_scan_count","__mv_search_et","__mv_status","__mv_total_run_time"
"1715629120.292",server,"1715629120.577485",0,"| mcatalog values(metric_name) as metrics WHERE NOT metric_name=""*_mrollup_*"" AND (""index""=""*"" OR ""index""=""_*"" ) 
    | mvexpand metrics limit=20000","","1715628220.000000000",23901,1715629120,513,23901,"1715628220.000000000",canceled,"0.10200000000000001",,,,,,,,,,,,,,
"1715629133.293",server,"1715629133.782322",0,"| mcatalog values(_dims) WHERE (""index""=""*"" OR ""index""=""_*"") AND NOT metric_name=""*_mrollup_*"" BY index, metric_name | mvexpand values(_dims)","","1715628233.000000000",24082,1715629133,1468,24082,"1715628233.000000000",canceled,"0.061",,,,,,,,,,,,,,
